,Num. Exp,Objeto Contrato,Organismo,Tipo de Contrato,Tipo Tramitación,Importe,Estado,Causa
0,56/21,Casa de San Nicolás,NaN,Privado,Ordinario,60000.0,Desierto,NaN
1,72/20,Suministro de carburante para la flota de vehículos del Ayuntamiento de Alicante.,NaN,Suministros,Ordinario,54450.0,Desierto,NaN
2,19/21,Suministro de vestuario para el personal de Infraestructuras y Mantenimiento del Ayuntamiento de Alicante. ,NaN,Suministros,Ordinario,84737.4,Desierto,NaN
3,43/21,Desarrollo de herramientas de gestión de tributos en Oracle Middleware 12c y Oracle ADF (Aplication Development Framework),NaN,Servicios,Ordinario,49966.74,Desierto,NaN
4,74/20,"Explotación del Bar-Cafetería del mercadillo Municipal ""José Manuel Gosálbez"" de Alicante",NaN,Contrato administrativo especial,Ordinario,38743.0,Desierto,NaN
5,21/21,"Arrendamiento por parte del Ayuntamiento de Alicante de una nave industrial para el almacenamiento de material del Servicio de Infraestructuras y Mantenimiento, con las características descritas en el PCAP.",NaN,Privado,Ordinario,96800.0,Desierto,NaN
6,106/21,Suministro con intalación de luminarias para alumbrado público en Partidas Rurales del Término Municipal de Alicante.,NaN,Suministros,Ordinario,150000.0,Desierto,NaN
7,108/21,"Redacción del proyecto construcitvo de ejecución material, para la reforma interior, adecuadción de nuevos espacios y todo ello bajo los conceptos de mejora de la eficiencia energética, del pabellón existente en la parcela municipal, ubicada en la calle Pianista Gonzalo Soriano, 6, 03007, de la ciudad de Alicante, que dispone de una superficie de parcela de 9.261 m2 y con referencia catastral 7966402YH1476F0001KI.",NaN,Servicios,Ordinario,211856.48,Desierto,NaN
8,63/21,"Concesión demanial para la adjudicación de la explotación del Bar-Cafetería del mercadillo municipal ""José Manuel Gosálbez"" de Alicante",NaN,Contrato administrativo especial,Ordinario,38743.0,Desierto,NaN
9,81/20 ,Servicio de alojamiento y manutención ante situaciones de emergencia social,NaN,Servicios,Ordinario,49992.8,Desierto,NaN
10,91/21,Plantaciones en el entorno del Tossal de Manises Parque Arqueóloga Solveig Nordstrum,NaN,Obras,Ordinario,89920.01,Desierto,NaN
